iter	RMSE
0	78575.84707
1	76702.68855
2	74984.67303
3	73238.63741
4	71574.67125
5	69792.28766
6	68213.36862
7	66765.06064
8	65424.70951
9	64243.00751
10	62904.55213
11	61574.0085
12	60267.67137
13	59137.02937
14	57946.06017
15	56966.50563
16	55829.69585
17	54860.05418
18	53744.45974
19	52687.47439
20	51627.67771
21	50732.41032
22	49957.29664
23	49049.83133
24	48080.24284
25	47213.9861
26	46381.53529
27	45629.07811
28	44921.01955
29	44112.26216
30	43497.78363
31	42824.35706
32	42216.68898
33	41572.10298
34	41072.15081
35	40489.80631
36	39953.36911
37	39470.68782
38	38999.35368
39	38441.99207
40	38075.64843
41	37675.82047
42	37199.15044
43	36750.97345
44	36364.05643
45	35947.90876
46	35632.10213
47	35298.17967
48	34859.48357
49	34384.21694
50	33958.50939
51	33643.24239
52	33314.87717
53	32878.11463
54	32538.64147
55	32293.03364
56	31920.8825
57	31559.17334
58	31365.13515
59	31090.01344
60	30835.34664
61	30500.63545
62	30235.43147
63	29964.39277
64	29697.28317
65	29430.95862
66	29244.72364
67	28974.60495
68	28732.02286
69	28494.60198
70	28311.87497
71	28088.20352
72	27885.51028
73	27669.18373
74	27442.94242
75	27205.57395
76	27000.03353
77	26817.35786
78	26650.3951
79	26438.67449
80	26272.69218
81	26119.43524
82	25935.37999
83	25793.1814
84	25683.6889
85	25515.75728
86	25381.88187
87	25219.2047
88	25041.38337
89	24855.42599
90	24740.72069
91	24609.72625
92	24463.52578
93	24286.19096
94	24134.77556
95	24000.70045
96	23876.80561
97	23764.42771
98	23620.24172
99	23482.10779
100	23351.28877
101	23258.49603
102	23137.61095
103	23028.78303
104	22876.99103
105	22758.56499
106	22668.74325
107	22601.24263
108	22502.99531
109	22419.81762
110	22320.03397
111	22216.17498
112	22105.1107
113	22013.37553
114	21922.12325
115	21825.94465
116	21703.48464
117	21640.7892
118	21561.98768
119	21473.98603
120	21405.41717
121	21309.44609
122	21250.41002
123	21159.07976
124	21070.01866
125	20965.44978
126	20883.53836
127	20788.98368
128	20728.29387
129	20646.80327
130	20573.42458
131	20509.7239
132	20419.04037
133	20356.03245
134	20251.65927
135	20174.40052
136	20114.4012
137	20022.51189
138	19972.3236
139	19894.46494
140	19815.55632
141	19756.42796
142	19695.05135
143	19632.93689
144	19568.24801
145	19514.93778
146	19438.97566
147	19390.68135
148	19323.95842
149	19266.04884
150	19201.78822
151	19142.41993
152	19085.92479
153	19029.54046
154	18948.07423
155	18896.35536
156	18842.04237
157	18761.78592
158	18697.16897
159	18613.82488
160	18566.44061
161	18507.95263
162	18452.03199
163	18407.77646
164	18359.48363
165	18303.54006
166	18239.37824
167	18183.0629
168	18115.47912
169	18056.49896
170	18016.59154
171	17959.86288
172	17898.43819
173	17859.39674
174	17819.1783
175	17768.93558
176	17722.78302
177	17675.86897
178	17610.49361
179	17556.21268
180	17500.25256
181	17439.4507
182	17407.7529
183	17368.83811
184	17292.60016
185	17218.24273
186	17172.98782
187	17124.79651
188	17075.81308
189	17027.63549
190	16963.51835
191	16920.14854
192	16866.8926
193	16821.64552
194	16771.92714
195	16735.07433
196	16688.67846
197	16646.29024
198	16588.78009
199	16555.75365
200	16507.72149
201	16461.87724
202	16414.08494
203	16379.24313
204	16345.8604
205	16304.61024
206	16240.13574
207	16172.04582
208	16127.63039
209	16076.49503
210	16037.1236
211	15992.52224
212	15947.06028
213	15902.76613
214	15866.75702
215	15824.05851
216	15764.28537
217	15726.21153
218	15686.469
219	15652.01238
220	15600.96427
221	15558.49614
222	15513.73083
223	15453.44079
224	15401.84988
225	15347.71403
226	15311.5064
227	15271.6261
228	15244.74785
229	15215.18292
230	15178.75994
231	15136.2745
232	15105.2732
233	15052.95456
234	15012.56082
235	14978.93798
236	14935.82141
237	14897.74108
238	14846.33006
239	14795.73922
240	14761.88346
241	14727.69502
242	14696.27995
243	14667.52142
244	14633.63097
245	14602.35558
246	14570.30129
247	14523.58379
248	14483.86184
249	14460.36722
250	14417.82164
251	14383.79398
252	14331.95169
253	14302.67289
254	14255.39833
255	14208.57569
256	14177.8759
257	14133.7915
258	14095.03148
259	14067.04911
260	14039.86149
261	14012.58366
262	13979.32297
263	13955.37812
264	13921.49833
265	13902.60731
266	13869.20297
267	13854.67558
268	13829.20408
269	13796.79718
270	13772.54463
271	13736.66527
272	13697.12742
273	13655.30853
274	13623.32711
275	13609.79933
276	13582.02758
277	13544.15433
278	13491.12952
279	13455.29472
280	13422.47039
281	13380.01895
282	13340.85297
283	13309.43041
284	13264.56999
285	13218.26648
286	13188.849
287	13171.87608
288	13142.79658
289	13103.97524
290	13083.75239
291	13048.25729
292	13022.18131
293	13010.38771
294	12979.17033
295	12946.04677
296	12903.42169
297	12875.37185
298	12860.59315
299	12817.56662
300	12804.87729
301	12792.04659
302	12765.8369
303	12733.48342
304	12698.62661
305	12662.59923
306	12636.15602
307	12606.99229
308	12577.83314
309	12564.06046
310	12525.95166
311	12497.45015
312	12465.65826
313	12436.51162
314	12414.05819
315	12393.65014
316	12379.45458
317	12344.74269
318	12316.09388
319	12277.34473
320	12249.41454
321	12224.2355
322	12200.01387
323	12173.91847
324	12153.65685
325	12125.4246
326	12097.73712
327	12081.70388
328	12058.29164
329	12038.04962
330	12013.32962
331	11979.19935
332	11956.37382
333	11929.74297
334	11899.41307
335	11876.15773
336	11852.70032
337	11843.14841
338	11814.17995
339	11799.7047
340	11773.22252
341	11753.0133
342	11739.30559
343	11721.1117
344	11702.07694
345	11682.96856
346	11662.74559
347	11634.63364
348	11616.24036
349	11582.82263
350	11557.71912
351	11542.57294
352	11514.41885
353	11494.06673
354	11467.14967
355	11445.20571
356	11432.70142
357	11424.91001
358	11401.83398
359	11377.55956
360	11345.6062
361	11327.09584
362	11300.04288
363	11269.25221
364	11259.70303
365	11239.38453
366	11209.99586
367	11178.46186
368	11149.28276
369	11115.33155
370	11089.34243
371	11071.65612
372	11046.96954
373	11041.75261
374	11018.27055
375	10993.84354
376	10970.18412
377	10952.75295
378	10929.85251
379	10902.07107
380	10882.32232
381	10852.18566
382	10837.89724
383	10825.28144
384	10798.64201
385	10786.27297
386	10782.55341
387	10747.55178
388	10728.5621
389	10689.83598
390	10660.25346
391	10642.4642
392	10625.11536
393	10606.93699
394	10580.0805
395	10561.77762
396	10543.56305
397	10520.90262
398	10504.83243
399	10486.54462
400	10464.1383
401	10443.81371
402	10412.44666
403	10393.14865
404	10388.40458
405	10367.89636
406	10347.75646
407	10326.89534
408	10301.52419
409	10271.83166
410	10249.60184
411	10232.96075
412	10211.99379
413	10198.766
414	10180.36684
415	10154.71627
416	10132.34661
417	10115.45242
418	10098.58933
419	10084.02848
420	10062.52218
421	10038.33928
422	10023.09161
423	10012.74827
424	9991.959496
425	9975.197954
426	9959.984949
427	9951.968597
428	9924.107193
429	9904.935639
430	9889.311928
431	9859.227194
432	9839.384099
433	9815.117791
434	9795.601078
435	9771.653624
436	9756.073607
437	9730.813824
438	9704.293333
439	9690.930617
440	9676.852119
441	9647.727643
442	9630.690895
443	9616.21951
444	9602.388426
445	9583.554578
446	9569.968353
447	9553.511366
448	9522.416613
449	9511.634356
450	9487.576451
451	9471.816334
452	9452.494435
453	9431.323351
454	9410.537218
455	9395.104826
456	9366.714305
457	9352.704502
458	9331.126564
459	9313.861847
460	9293.826839
461	9278.376819
462	9260.96399
463	9238.720699
464	9210.947246
465	9197.247781
466	9184.833134
467	9164.990056
468	9137.753476
469	9119.411344
470	9101.8294
471	9091.996942
472	9075.345819
473	9067.031997
474	9056.086935
475	9039.840345
476	9010.576486
477	8996.179635
478	8983.738906
479	8961.123822
480	8942.464814
481	8925.739403
482	8918.801576
483	8913.19885
484	8897.230046
485	8885.3782
486	8874.198336
487	8851.917223
488	8839.437308
489	8823.089554
490	8808.518939
491	8791.897605
492	8772.257372
493	8748.988917
494	8729.619019
495	8716.288259
496	8688.089001
497	8668.708802
498	8643.586887
499	8629.324267
500	8622.616422
501	8607.036889
502	8586.866913
503	8561.672015
504	8547.551529
505	8537.831964
506	8524.783002
507	8511.574412
508	8503.417013
509	8477.973404
510	8463.800228
511	8441.531978
512	8416.04176
513	8389.346059
514	8373.172912
515	8354.406543
516	8336.817986
517	8326.60452
518	8322.004155
519	8310.445012
520	8290.90175
521	8276.199419
522	8264.913247
523	8244.646606
524	8223.888809
525	8196.975173
526	8186.12514
527	8170.702215
528	8156.992685
529	8147.552015
530	8125.942488
531	8121.324929
532	8109.593116
533	8097.652086
534	8080.484896
535	8056.139696
536	8038.530688
537	8022.262294
538	8006.304209
539	7995.44156
540	7984.675515
541	7963.908904
542	7947.557228
543	7926.450421
544	7902.643413
545	7883.249888
546	7864.891495
547	7842.507801
548	7839.834372
549	7823.652772
550	7802.075542
551	7794.062346
552	7777.352613
553	7763.981167
554	7745.787407
555	7732.341081
556	7712.399021
557	7698.949525
558	7681.310454
559	7664.844086
560	7648.201761
561	7631.67465
562	7616.369344
563	7601.074735
564	7585.684516
565	7574.983078
566	7566.306129
567	7548.702937
568	7536.978442
569	7533.131644
570	7514.349091
571	7498.813275
572	7487.833277
573	7479.104887
574	7465.524389
575	7455.885853
576	7442.835141
577	7429.747228
578	7415.292435
579	7393.239131
580	7381.286051
581	7369.971758
582	7355.568133
583	7343.766747
584	7334.690801
585	7323.582261
586	7312.155078
587	7297.951426
588	7279.200575
589	7268.848054
590	7261.710817
591	7250.463334
592	7234.897335
593	7212.885035
594	7206.359607
595	7195.940469
596	7187.378254
597	7169.783406
598	7158.437656
599	7154.332096
600	7143.553334
601	7123.774509
602	7103.994171
603	7084.268131
604	7072.055253
605	7061.887731
606	7050.286546
607	7030.880927
608	7023.431795
609	7014.158743
610	7000.344854
611	6987.531884
612	6983.956807
613	6971.007646
614	6952.681119
615	6940.230057
616	6927.161542
617	6908.436428
618	6902.361143
619	6888.601179
620	6876.791676
621	6863.404359
622	6852.320079
623	6840.462742
624	6821.534184
625	6808.938291
626	6796.376182
627	6783.402656
628	6771.402192
629	6763.598598
630	6754.432439
631	6742.569031
632	6728.98052
633	6712.719881
634	6703.47258
635	6696.460129
636	6687.880564
637	6672.225582
638	6663.539624
639	6652.336338
640	6645.212314
641	6633.742222
642	6613.995268
643	6607.245237
644	6597.916061
645	6586.853476
646	6576.762967
647	6568.947183
648	6550.752144
649	6541.507374
650	6533.96404
651	6523.883637
652	6507.692793
653	6504.258223
654	6491.574448
655	6480.02541
656	6465.967329
657	6449.479167
658	6440.417923
659	6428.477356
660	6421.945242
661	6409.588178
662	6400.228715
663	6384.316785
664	6370.909242
665	6357.035324
666	6355.543154
667	6346.835209
668	6329.04215
669	6318.844618
670	6316.0738
671	6309.022999
672	6296.157433
673	6284.031716
674	6274.952251
675	6262.320396
676	6254.621721
677	6247.562495
678	6234.776559
679	6227.043604
680	6216.595139
681	6203.347809
682	6195.09334
683	6182.6358
684	6171.483983
685	6155.676442
686	6142.971415
687	6132.072537
688	6121.711694
689	6110.421195
690	6095.226021
691	6086.069921
692	6077.546682
693	6061.178368
694	6054.777517
695	6041.734303
696	6033.533366
697	6019.794336
698	6005.908616
699	5994.050682
700	5990.554919
701	5982.132807
702	5975.568607
703	5966.383844
704	5958.738211
705	5952.014133
706	5939.132841
707	5929.90363
708	5927.414348
709	5918.260527
710	5913.852076
711	5900.052083
712	5892.057183
713	5882.648683
714	5874.298278
715	5869.612963
716	5861.858682
717	5858.111194
718	5847.40995
719	5842.240249
720	5834.483752
721	5822.378783
722	5806.247814
723	5801.130125
724	5791.070934
725	5783.352938
726	5770.002257
727	5755.634074
728	5748.505817
729	5737.025079
730	5726.514187
731	5719.771365
732	5711.090421
733	5701.291157
734	5686.105828
735	5674.784637
736	5662.617171
737	5650.278373
738	5648.753868
739	5636.783051
740	5627.273277
741	5618.679847
742	5609.386539
743	5605.825367
744	5598.789874
745	5592.038933
746	5586.163016
747	5577.696461
748	5567.072467
749	5555.748539
750	5547.506043
751	5538.65571
752	5525.588571
753	5516.546242
754	5508.375203
755	5486.61183
756	5474.532941
757	5458.361242
758	5445.838553
759	5440.118636
760	5428.715516
761	5416.816206
762	5411.112115
763	5405.255186
764	5394.635352
765	5381.701795
766	5364.132923
767	5356.859166
768	5349.554571
769	5335.360288
770	5331.720196
771	5323.004551
772	5316.965122
773	5306.393934
774	5304.778472
775	5295.443527
776	5291.597406
777	5283.127633
778	5271.205926
779	5265.208038
780	5256.063381
781	5252.665007
782	5243.11568
783	5235.303456
784	5229.355987
785	5221.224388
786	5210.910144
787	5204.555386
788	5196.252796
789	5185.234556
790	5180.742171
791	5174.617561
792	5167.72907
793	5161.697191
794	5154.639908
795	5146.161756
796	5140.834119
797	5132.190185
798	5123.534284
799	5110.39868
800	5100.869243
801	5091.125715
802	5080.8167
803	5072.63804
804	5060.573224
805	5048.709256
806	5039.547153
807	5033.608626
808	5027.211154
809	5018.008543
810	5010.067979
811	5003.19502
812	4991.079255
813	4982.052289
814	4975.378438
815	4965.255434
816	4958.240536
817	4948.41791
818	4935.198915
819	4928.177771
820	4919.951484
821	4914.352891
822	4902.650457
823	4888.841661
824	4882.244236
825	4877.361051
826	4871.011826
827	4858.756663
828	4848.738912
829	4844.335419
830	4843.067499
831	4833.309109
832	4826.431018
833	4816.60772
834	4808.527474
835	4797.667118
836	4791.622668
837	4786.413904
838	4781.36274
839	4772.123006
840	4760.796921
841	4753.065167
842	4746.478853
843	4737.169863
844	4729.080494
845	4716.988524
846	4715.804803
847	4707.37688
848	4697.175691
849	4687.629846
850	4682.042646
851	4674.519959
852	4666.603771
853	4659.281615
854	4652.268149
855	4641.433969
856	4635.149513
857	4624.156698
858	4616.119227
859	4607.395915
860	4603.929658
861	4597.156064
862	4589.449047
863	4579.776717
864	4566.837206
865	4558.214209
866	4551.806282
867	4540.338878
868	4538.359096
869	4528.465022
870	4524.831864
871	4515.629447
872	4505.62317
873	4496.806503
874	4489.033676
875	4480.075798
876	4474.459578
877	4469.177518
878	4459.235659
879	4447.930238
880	4441.490768
881	4433.848266
882	4428.305431
883	4423.689577
884	4413.946951
885	4404.676696
886	4400.334553
887	4392.43484
888	4387.576777
889	4384.525156
890	4377.906777
891	4369.486602
892	4362.668864
893	4356.325829
894	4350.853144
895	4341.546444
896	4339.253123
897	4330.085236
898	4321.501339
899	4315.195144
900	4304.49364
901	4295.416888
902	4289.825378
903	4280.682687
904	4269.504061
905	4259.237485
906	4256.495382
907	4250.694013
908	4242.406827
909	4232.498929
910	4219.757982
911	4212.352003
912	4206.10311
913	4197.979554
914	4186.097922
915	4176.783652
916	4172.010363
917	4163.585622
918	4154.763745
919	4146.109523
920	4141.48686
921	4132.971177
922	4127.925962
923	4121.76689
924	4115.873772
925	4107.552977
926	4096.933553
927	4092.691276
928	4087.024843
929	4077.37178
930	4072.943281
931	4061.861319
932	4051.735789
933	4048.355895
934	4043.819156
935	4039.859889
936	4031.741042
937	4029.442833
938	4024.904933
939	4018.030384
940	4007.258242
941	3998.95935
942	3991.30832
943	3988.059779
944	3982.335226
945	3977.526696
946	3971.913727
947	3968.443316
948	3963.917964
949	3961.757374
950	3956.297505
951	3947.156375
952	3941.517707
953	3931.904965
954	3924.196436
955	3918.7375
956	3913.758822
957	3908.136498
958	3902.216056
959	3896.518804
960	3886.946547
961	3882.490024
962	3874.072212
963	3866.445605
964	3861.862875
965	3849.839583
966	3845.337436
967	3837.940279
968	3826.285942
969	3817.784088
970	3811.296261
971	3804.204915
972	3798.67177
973	3791.123812
974	3785.359838
975	3777.131333
976	3769.039065
977	3762.910874
978	3753.657412
979	3744.966278
980	3740.282128
981	3736.462147
982	3729.104698
983	3724.984092
984	3719.224992
985	3711.301673
986	3704.349559
987	3698.507562
988	3690.848407
989	3682.892739
990	3674.313461
991	3669.191431
992	3660.202665
993	3653.314271
994	3649.487289
995	3645.181173
996	3639.530059
997	3631.881007
998	3625.308921
999	3620.851514
