iter	Passed	Remaining
0	2	2334
1	6	3464
2	9	3242
3	11	2959
4	13	2780
5	16	2693
6	18	2629
7	20	2568
8	22	2505
9	24	2471
10	27	2446
11	29	2413
12	31	2408
13	33	2372
14	35	2342
15	37	2317
16	39	2301
17	41	2274
18	43	2259
19	45	2239
20	47	2233
21	49	2209
22	51	2190
23	53	2172
24	55	2157
25	57	2145
26	59	2127
27	60	2107
28	62	2089
29	64	2076
30	66	2067
31	67	2056
32	69	2041
33	71	2027
34	73	2016
35	74	2001
36	76	1990
37	78	1978
38	80	1978
39	82	1971
40	83	1960
41	85	1952
42	87	1943
43	88	1932
44	90	1926
45	92	1917
46	94	1912
47	95	1903
48	97	1896
49	99	1890
50	101	1882
51	102	1877
52	104	1869
53	106	1861
54	107	1854
55	109	1848
56	111	1843
57	113	1838
58	114	1833
59	116	1829
60	118	1827
61	120	1822
62	122	1817
63	124	1818
64	126	1821
65	128	1822
66	130	1821
67	132	1818
68	134	1814
69	136	1810
70	138	1806
71	139	1803
72	141	1799
73	143	1797
74	145	1793
75	147	1790
76	148	1785
77	150	1781
78	152	1778
79	154	1775
80	156	1772
81	157	1768
82	159	1764
83	161	1761
84	163	1757
85	165	1755
86	167	1752
87	168	1750
88	170	1747
89	172	1743
90	174	1740
91	177	1749
92	181	1766
93	183	1769
94	185	1766
95	187	1763
96	189	1760
97	191	1758
98	192	1755
99	194	1753
100	196	1750
101	198	1747
102	203	1773
103	209	1808
104	212	1807
105	213	1804
106	215	1800
107	217	1796
108	219	1792
109	221	1790
110	223	1786
111	224	1783
112	226	1780
113	228	1776
114	230	1774
115	232	1773
116	234	1771
117	236	1768
118	238	1764
119	240	1760
120	241	1757
121	243	1754
122	245	1751
123	247	1747
124	249	1745
125	251	1741
126	252	1738
127	254	1735
128	256	1733
129	258	1729
130	260	1727
131	262	1725
132	264	1724
133	266	1722
134	268	1718
135	269	1715
136	272	1713
137	273	1710
138	275	1708
139	277	1705
140	279	1703
141	281	1701
142	283	1698
143	285	1696
144	287	1695
145	289	1692
146	291	1690
147	293	1687
148	295	1685
149	296	1682
150	298	1680
151	300	1677
152	302	1676
153	305	1675
154	306	1673
155	308	1670
156	310	1668
157	312	1666
158	314	1663
159	316	1661
160	318	1659
161	320	1658
162	322	1657
163	324	1655
164	327	1655
165	329	1653
166	330	1650
167	332	1647
168	334	1645
169	336	1643
170	338	1641
171	340	1638
172	342	1636
173	344	1634
174	346	1632
175	348	1629
176	349	1626
177	352	1625
178	353	1623
179	355	1621
180	357	1618
181	359	1617
182	361	1614
183	363	1613
184	366	1613
185	369	1615
186	371	1617
187	374	1618
188	377	1620
189	380	1621
190	383	1623
191	385	1624
192	388	1624
193	391	1627
194	394	1627
195	396	1625
196	398	1623
197	400	1622
198	402	1620
199	404	1618
200	406	1616
201	408	1614
202	410	1611
203	412	1609
204	414	1607
205	416	1605
206	418	1603
207	420	1601
208	422	1600
209	424	1597
210	426	1595
211	428	1592
212	430	1590
213	432	1588
214	434	1585
215	436	1583
216	438	1582
217	440	1581
218	443	1581
219	445	1579
220	448	1580
221	451	1580
222	454	1583
223	457	1585
224	459	1584
225	462	1584
226	465	1585
227	468	1585
228	471	1587
229	474	1587
230	477	1588
231	479	1588
232	482	1587
233	484	1586
234	487	1587
235	490	1586
236	492	1586
237	495	1586
238	498	1587
239	500	1586
240	503	1584
241	505	1583
242	507	1581
243	510	1580
244	512	1579
245	515	1578
246	517	1577
247	519	1575
248	522	1574
249	524	1574
250	527	1573
251	529	1572
252	532	1571
253	534	1571
254	537	1569
255	539	1568
256	541	1566
257	544	1564
258	546	1563
259	548	1561
260	551	1560
261	553	1559
262	556	1558
263	558	1557
264	561	1556
265	564	1556
266	567	1557
267	569	1556
268	572	1555
269	575	1554
270	577	1553
271	579	1551
272	582	1550
273	584	1549
274	587	1548
275	589	1547
276	592	1546
277	594	1545
278	597	1544
279	600	1542
280	602	1541
281	606	1543
282	608	1542
283	611	1541
284	613	1539
285	616	1538
286	618	1537
287	621	1535
288	624	1535
289	626	1533
290	629	1533
291	632	1532
292	634	1531
293	637	1531
294	640	1531
295	643	1529
296	646	1530
297	648	1528
298	651	1527
299	654	1527
300	659	1531
301	663	1534
302	666	1533
303	669	1532
304	672	1532
305	675	1531
306	677	1530
307	680	1529
308	683	1527
309	685	1526
310	689	1527
311	692	1525
312	694	1524
313	696	1521
314	699	1520
315	701	1519
316	703	1516
317	706	1514
318	708	1513
319	710	1510
320	713	1508
321	715	1506
322	718	1505
323	720	1503
324	723	1501
325	725	1500
326	727	1497
327	730	1495
328	732	1493
329	735	1492
330	737	1490
331	740	1489
332	742	1487
333	745	1486
334	747	1484
335	750	1482
336	752	1481
337	754	1478
338	757	1477
339	760	1475
340	762	1473
341	765	1471
342	767	1469
343	769	1467
344	771	1465
345	774	1463
346	776	1461
347	779	1459
348	781	1458
349	784	1456
350	786	1454
351	788	1452
352	791	1450
353	793	1448
354	796	1446
355	798	1445
356	801	1443
357	804	1443
358	808	1443
359	811	1442
360	814	1441
361	817	1440
362	820	1439
363	823	1438
364	825	1436
365	829	1436
366	832	1435
367	834	1433
368	838	1433
369	840	1431
370	843	1429
371	846	1429
372	849	1427
373	852	1426
374	855	1425
375	857	1423
376	859	1421
377	862	1419
378	864	1416
379	867	1414
380	869	1412
381	871	1409
382	873	1407
383	876	1405
384	878	1403
385	880	1401
386	883	1399
387	885	1396
388	887	1394
389	890	1393
390	893	1391
391	895	1389
392	897	1386
393	900	1385
394	902	1382
395	905	1380
396	907	1378
397	910	1376
398	912	1373
399	914	1371
400	916	1368
401	918	1366
402	920	1363
403	922	1361
404	924	1358
405	926	1355
406	928	1352
407	930	1349
408	932	1347
409	934	1344
410	936	1341
411	938	1339
412	940	1336
413	942	1333
414	944	1331
415	946	1328
416	948	1325
417	950	1322
418	951	1320
419	953	1317
420	956	1314
421	958	1312
422	960	1309
423	962	1307
424	964	1304
425	966	1301
426	968	1299
427	969	1296
428	971	1293
429	973	1290
430	975	1287
431	977	1284
432	979	1282
433	981	1279
434	982	1276
435	984	1273
436	986	1271
437	988	1268
438	990	1265
439	991	1262
440	993	1259
441	995	1256
442	997	1254
443	999	1251
444	1000	1248
445	1002	1245
